Date,Open,High,Low,Vol.,MAD,Price,BuySell
2014-08-05,592.8,594.3,585.4,4090.0,588.3799999999999,585.8575818681007,Pass
2014-08-06,588.8,593.8,587.2,3010.0,587.8599999999999,588.6728203173037,Pass
2014-08-08,592.8,608.2,592.1,3110.0,589.35,602.687422735615,Sell
2014-08-10,589.5,596.6,588.1,1340.0,592.0999999999999,591.5317682505389,Pass
2014-08-16,496.5,524.3,483.2,3870.0,557.92,511.80086833438327,Buy
2014-08-17,522.0,524.7,478.2,3140.0,547.1899999999999,495.16863464738213,Pass
2014-08-18,485.5,493.3,450.0,6380.0,533.8299999999999,468.8564703853382,Pass
2014-08-19,462.2,487.0,455.8,5120.0,523.39,479.0524933247475,Pass
2014-08-20,485.1,521.8,468.5,5890.0,515.86,506.045975866561,Pass
2014-08-22,517.9,524.4,500.6,6030.0,504.9,509.8004154356462,Pass
2014-08-25,509.7,511.3,499.7,2740.0,501.59,501.7276219673467,Pass
2014-08-26,502.9,516.0,501.8,3530.0,500.65,510.9520111147058,Sell
2014-08-27,512.6,527.4,512.7,3790.0,503.62,522.7612545548251,Pass
2014-08-28,515.2,521.6,503.3,4470.0,508.48,510.4432848270596,Pass
2014-08-29,510.8,515.2,506.7,3640.0,511.23,509.08161727325785,Pass
2014-09-01,481.8,487.5,471.8,6790.0,502.65,478.15311205732075,Buy
2014-09-03,478.9,487.3,476.8,6140.0,497.8,482.48998752415224,Pass
2014-09-04,480.0,498.5,476.3,8810.0,496.61,491.77254208339554,Pass
2014-09-08,485.8,487.0,469.5,8140.000000000001,484.45,473.80357502211547,Pass
2014-09-10,474.9,491.0,471.6,8290.0,481.12999999999994,484.5853624650787,Pass
2014-09-13,477.7,480.6,474.6,5280.0,480.96000000000004,475.4244033178584,Pass
2014-09-14,478.2,480.3,472.0,4210.0,479.63,473.31914650000016,Pass
2014-09-15,477.7,479.3,473.7,5630.0,479.03999999999996,473.6528054928687,Pass
2014-09-16,477.7,478.8,464.0,6520.0,477.27,467.29921902912986,Pass
2014-09-17,466.8,469.4,458.3,7510.0,474.8,461.08810111213614,Pass
2014-09-23,404.1,445.5,394.8,17940.0,435.94000000000005,433.960068000655,Pass
2014-09-24,436.9,439.2,422.1,21370.0,430.55,426.67397739897746,Pass
2014-09-25,423.8,427.5,409.6,14630.0,424.01000000000005,415.5791729179925,Pass
2014-09-26,412.3,416.4,399.7,12120.0,417.78000000000003,405.6291157064999,Pass
2014-09-29,379.1,389.3,372.6,20690.0,404.96,382.0096657542426,Pass
2014-09-30,376.8,395.2,374.7,16920.0,402.63,389.9895649091737,Pass
2014-10-02,382.8,385.6,371.2,14300.0,397.85,375.81780823170993,Pass
2014-10-03,375.1,378.2,362.8,16810.0,390.51000000000005,367.95391156467906,Pass
2014-10-05,335.3,344.3,294.9,29850.0,372.72,316.89161618364085,Pass
2014-10-06,322.9,347.9,303.0,41170.0,365.41999999999996,331.37052585602817,Pass
2014-10-08,331.6,351.6,325.4,21770.0,355.86,343.88301977554283,Pass
2014-10-11,361.7,370.1,350.5,13930.0,349.46000000000004,359.7509385172574,Sell
2014-10-13,373.2,391.2,366.0,23580.0,351.65,381.9930821272735,Pass
2014-10-15,397.1,397.9,388.2,22490.0,364.86,388.8245689269917,Pass
2014-10-18,380.5,395.7,373.6,9450.0,378.58000000000004,387.59796275441676,Pass
2014-10-24,355.8,360.9,351.4,20030.0,378.42999999999995,355.44489832687003,Buy
2014-10-25,355.1,356.6,341.5,14040.0,373.78000000000003,345.99452403765395,Pass
2014-10-26,346.7,356.8,344.2,11580.0,370.66999999999996,352.3682000210064,Pass
2014-10-27,348.7,356.4,344.9,10600.0,367.63,351.3138110566841,Pass
2014-10-30,335.1,350.4,333.4,16120.000000000002,354.88,345.8946508486178,Pass
2014-10-31,344.9,348.0,336.1,14000.0,350.42999999999995,339.9893780742358,Pass
2014-11-01,337.9,339.0,320.7,13770.0,345.08000000000004,326.1688344635609,Pass
2014-11-04,324.2,328.8,320.1,15120.0,336.78999999999996,323.70717431357065,Pass
2014-11-06,338.0,351.1,335.7,15650.0,335.48,346.03857857951334,Sell
2014-11-07,347.7,351.6,340.2,15020.0,334.55999999999995,343.95409240910953,Pass
2014-11-13,432.0,480.5,390.9,58200.0,365.43,446.42186870916424,Pass
2014-11-14,428.7,430.2,382.0,35730.0,372.28000000000003,397.44411031817805,Pass
2014-11-15,396.5,407.3,368.0,13330.0,375.97,386.1167395268186,Pass
2014-11-19,379.2,389.3,374.3,19870.0,389.55,382.8663314751883,Buy
2014-11-21,357.3,358.7,343.8,23470.0,387.21000000000004,348.1781946263507,Pass
2014-11-22,351.8,364.2,350.5,12940.0,379.21000000000004,360.3722317481535,Pass
2014-11-23,352.0,370.6,352.6,12410.0,372.92999999999995,367.30162605752025,Pass
2014-11-25,378.9,395.7,370.6,45320.0,371.32,385.69922246321323,Sell
2014-11-26,376.4,378.3,364.0,23980.0,369.3,367.64851660672645,Pass
2014-11-27,365.4,374.4,364.8,13850.0,367.71,370.754233000867,Pass
2014-11-28,368.8,383.3,358.4,43020.0,367.55,372.4565690937249,Pass
2014-11-30,376.3,381.1,372.6,11290.0,368.8,375.78244414105257,Pass
2014-12-01,374.9,383.6,373.0,19670.0,371.47999999999996,378.90611271939764,Pass
2014-12-03,380.6,384.7,373.6,23510.0,375.45,377.1627947254767,Pass
2014-12-04,377.0,380.4,366.2,25330.0,374.54,370.6530191809309,Buy
2014-12-06,377.6,380.3,372.0,11070.0,375.75,374.127899320064,Pass
2014-12-07,376.3,377.9,372.5,8810.0,376.52000000000004,373.008481724766,Pass
2014-12-09,365.0,365.4,343.8,43830.0,372.85,349.41297078597717,Pass
2014-12-11,347.9,367.1,337.8,51080.0,367.06,356.3381743989208,Pass
2014-12-12,347.7,356.4,346.0,26850.0,364.34000000000003,352.16192187028236,Pass
2014-12-13,353.4,353.1,343.8,19540.0,361.46000000000004,344.8642997235721,Pass
2014-12-14,348.2,351.6,344.6,12340.0,359.41999999999996,346.9429597220878,Pass
2014-12-16,345.4,346.5,328.9,38590.0,351.59,333.51115983134747,Pass
2014-12-17,330.2,335.7,314.3,61340.0,345.93999999999994,322.3631349159694,Pass
2014-12-18,320.0,325.6,303.4,60520.0,340.46999999999997,311.9924040375146,Pass
2014-12-19,310.3,320.2,306.4,41710.0,337.03000000000003,314.5368675876291,Pass
2014-12-20,317.8,332.6,316.0,29920.0,335.28,327.9018869700198,Pass
2014-12-23,330.8,339.3,328.0,24070.0,329.21999999999997,334.28140825150143,Sell
2014-12-24,335.3,336.3,320.6,21520.0,326.52000000000004,324.65591068395975,Pass
2014-12-27,330.0,330.7,312.0,21630.0,323.39,317.1633399404716,Buy
2014-12-28,315.3,322.8,310.5,20410.0,324.01,317.0288980548375,Pass
2014-12-30,314.1,316.2,309.3,22780.0,321.73,310.8091753611903,Pass
2014-12-31,311.3,319.1,308.9,20500.0,321.28999999999996,314.7983792325207,Pass
2015-01-05,264.7,278.3,262.9,54990.0,303.21,273.73361569274573,Pass
2015-01-06,274.8,285.1,271.5,21940.0,299.91,280.47893869379106,Pass
2015-01-07,282.3,296.1,280.7,30670.0,297.39,291.77224038473423,Pass
2015-01-09,282.7,290.6,277.3,20930.0,291.91999999999996,284.6271211381981,Pass
2015-01-10,288.0,289.3,272.0,14730.0,287.44,277.4551174601314,Pass
2015-01-11,273.4,278.0,263.8,15110.0,282.43,269.9721651582579,Pass
2015-01-12,264.8,273.1,263.3,25390.0,277.84,269.49352972942523,Pass
2015-01-14,221.3,230.9,157.3,170680.0,261.28000000000003,186.4572575477118,Pass
2015-01-15,164.9,231.3,164.6,124670.0,254.78000000000003,222.87006089415584,Pass
2015-01-18,199.6,220.7,192.5,40370.0,230.85999999999999,212.93324255924003,Pass
2015-01-20,215.9,216.6,203.4,37480.0,217.36999999999998,206.74980256008675,Pass
2015-01-25,248.2,256.4,241.4,50190.0,223.7,248.41957587949517,Sell
2015-01-26,252.1,310.9,251.5,105710.0,229.92999999999998,301.02253080738933,Pass
2015-01-27,269.2,276.9,247.3,50260.0,236.3,259.6134240119188,Pass
2015-01-28,263.3,267.7,228.1,63770.0,238.85999999999999,242.5067118047796,Pass
2015-01-29,236.2,241.5,220.4,54490.0,240.67,228.81107313057652,Buy
2015-01-30,234.0,244.8,227.2,48230.0,242.79000000000002,237.32802140513036,Pass
2015-02-01,218.5,231.4,209.7,41160.0,241.08,223.0599012569883,Pass
2015-02-04,227.4,230.7,220.2,55240.0,237.11999999999998,223.49245082404911,Pass
2015-02-09,223.7,225.0,215.7,91690.0,224.79000000000002,216.4087033537374,Pass
2015-02-11,219.7,223.5,217.3,71730.0,224.26,218.68025829403737,Pass
2015-02-12,218.8,223.0,217.3,50110.0,222.55,219.24436843046604,Pass
2015-02-14,236.2,261.3,235.4,133800.0,226.63000000000002,253.7314642342349,Sell
2015-02-16,233.3,240.0,228.0,115470.0,229.59,231.8527029080106,Pass
2015-02-18,243.2,245.5,231.7,99660.0,232.28999999999996,234.22316535698852,Pass
2015-02-21,244.5,247.3,242.6,42950.0,239.49,243.34550906948064,Pass
2015-02-24,238.8,240.3,235.5,45030.0,239.17000000000002,235.6883185727262,Buy
2015-02-26,237.3,238.2,233.5,50870.0,239.64000000000001,233.23299545486557,Pass
2015-02-27,236.5,258.7,235.7,167810.0,240.67000000000002,250.7648616199419,Sell
2015-02-28,253.5,255.4,248.7,39410.0,242.56,249.73400172603317,Pass
2015-03-01,254.1,260.6,244.8,51330.0,244.16000000000003,251.5475095507697,Pass
2015-03-02,257.9,274.8,256.1,81090.0,247.09,268.59399275198064,Pass
2015-03-08,274.9,278.8,271.3,50400.0,268.9,273.4051929446688,Pass
2015-03-10,290.0,301.0,288.1,158180.0,276.28,293.0276133900739,Pass
2015-03-11,291.4,297.7,288.9,79980.0,280.05,291.8287447236478,Pass
2015-03-13,293.9,294.9,286.1,97340.0,282.72,285.8213778003288,Pass
2015-03-17,290.4,292.5,283.3,65010.00000000001,287.49,284.76706461612486,Pass
2015-03-18,285.4,285.6,248.2,206740.0,285.63,256.2898163643661,Buy
2015-03-19,255.9,264.8,247.0,180690.0,282.72,253.11368885608988,Pass
2015-03-20,260.9,264.7,257.9,52830.0,279.76,260.1545595815495,Pass
2015-03-23,268.6,271.0,259.4,81450.0,271.46999999999997,261.7782050935667,Pass
2015-03-25,246.7,249.2,234.8,131440.0,264.13,237.4168874182611,Pass
2015-03-27,248.0,250.1,244.5,62560.0,256.07000000000005,245.03529411704645,Pass
2015-03-28,247.2,254.3,246.3,55060.0,255.68,250.5944172304378,Pass
2015-03-29,252.0,252.8,238.9,77540.0,253.8,241.54499511049914,Pass
2015-03-30,242.1,248.8,236.6,85330.0,252.3,241.6309569034796,Pass
2015-04-04,254.5,255.2,250.3,30720.0,248.64000000000001,250.40069217160865,Pass
2015-04-06,259.6,261.5,252.3,45930.0,250.57999999999998,254.26143696452596,Sell
2015-04-09,244.6,246.2,237.6,69190.0,250.58,238.9114156965096,Buy
2015-04-13,235.9,236.8,220.4,105150.0,243.91,223.60461782780268,Pass
2015-04-16,223.0,229.5,222.9,84890.0,234.06,225.76996736278633,Pass
2015-04-17,228.0,229.3,220.6,66920.0,231.02000000000004,221.90779726563864,Pass
2015-04-21,224.2,235.3,223.3,68350.0,225.54000000000002,230.97087776052416,Sell
2015-04-23,233.8,236.1,232.6,42450.0,226.51,232.80055914316216,Pass
2015-04-26,226.1,226.7,214.1,100770.0,227.2,215.7145717118412,Buy
2015-04-28,229.0,229.9,222.0,65970.0,228.08,222.76178591293788,Pass
2015-04-29,225.8,227.2,222.3,60890.0,228.32,222.340469776165,Pass
2015-05-04,240.0,243.2,237.4,69120.0,230.83,238.25372424730355,Sell
2015-05-07,230.0,240.3,228.3,91050.0,233.8,235.02252543051253,Pass
2015-05-10,241.4,244.8,238.2,44000.0,237.60999999999999,240.23317697405932,Pass
2015-05-11,240.0,243.9,238.9,57170.0,238.47000000000003,240.2638555849197,Pass
2015-05-13,241.6,243.9,234.1,84430.0,238.74,235.80637842344893,Buy
2015-05-14,236.4,239.2,232.4,71020.0,238.53000000000003,233.63923470355883,Pass
2015-05-16,237.2,237.8,234.6,27050.0,239.28999999999996,234.40997808528257,Pass
2015-05-17,236.2,237.8,235.4,28430.0,239.15,235.3981662104569,Pass
2015-05-18,236.3,237.1,231.5,53140.0,238.04000000000002,231.6932337054179,Pass
2015-05-20,232.0,235.2,231.5,49690.0,236.5,232.34954443612216,Pass
2015-05-22,235.4,242.0,234.6,74110.0,235.74,237.96532086285504,Pass
2015-05-23,240.4,241.7,238.1,36030.0,235.99,238.08669119783826,Pass
2015-05-24,238.9,242.4,237.5,30260.0,236.4,239.33985600323908,Sell
2015-05-27,237.8,238.9,235.9,48030.0,236.68,235.3143488238831,Pass
2015-05-28,237.3,238.4,236.2,35750.0,237.15,235.63804350155036,Pass
2015-06-02,223.1,227.4,222.3,60810.0,233.95999999999998,224.1806671197161,Buy
2015-06-03,225.7,227.9,223.7,54350.0,232.42,224.2169421393622,Pass
2015-06-04,225.6,226.7,223.5,44060.0,231.1,223.2975333451667,Pass
